problem_id,arm,dist1,dist2,min,max,spread,solved,node_count,expansions,disjunct_reached,picked_cheapest,hops1,hops2,cheaper_by_cost,cheaper_by_hops,agree
6,DFS,17.579855645719366,210.77011915221442,17.579855645719366,210.77011915221442,193.19026350649506,True,15,3,d1,True,3,34,d1,d1,True
6,CheapestFirst,17.579855645719366,210.77011915221442,17.579855645719366,210.77011915221442,193.19026350649506,True,23,5,d1,True,3,34,d1,d1,True
6,DNF,17.579855645719366,210.77011915221442,17.579855645719366,210.77011915221442,193.19026350649506,True,151,37,,,3,34,d1,d1,True
7,BFS,277.0748836116759,160.80941517942864,160.80941517942864,277.0748836116759,116.26546843224725,True,224,56,d2,True,54,30,d2,d2,True
7,DFS,277.0748836116759,160.80941517942864,160.80941517942864,277.0748836116759,116.26546843224725,True,219,54,d1,False,54,30,d2,d2,True
7,CheapestFirst,277.0748836116759,160.80941517942864,160.80941517942864,277.0748836116759,116.26546843224725,True,224,56,d2,True,54,30,d2,d2,True
7,DNF,277.0748836116759,160.80941517942864,160.80941517942864,277.0748836116759,116.26546843224725,True,339,84,,,54,30,d2,d2,True
8,BFS,114.37814325804325,407.1408621192454,114.37814325804325,407.1408621192454,292.7627188612022,True,155,38,d1,True,19,72,d1,d1,True
8,DFS,114.37814325804325,407.1408621192454,114.37814325804325,407.1408621192454,292.7627188612022,True,79,19,d1,True,19,72,d1,d1,True
8,CheapestFirst,114.37814325804325,407.1408621192454,114.37814325804325,407.1408621192454,292.7627188612022,True,159,39,d1,True,19,72,d1,d1,True
8,DNF,114.37814325804325,407.1408621192454,114.37814325804325,407.1408621192454,292.7627188612022,True,367,91,,,19,72,d1,d1,True
9,BFS,54.78464477350788,58.28386060399069,54.78464477350788,58.28386060399069,3.499215830482811,True,56,14,d1,True,9,11,d1,d1,True
9,DFS,54.78464477350788,58.28386060399069,54.78464477350788,58.28386060399069,3.499215830482811,True,39,9,d1,True,9,11,d1,d1,True
9,CheapestFirst,54.78464477350788,58.28386060399069,54.78464477350788,58.28386060399069,3.499215830482811,True,56,14,d1,True,9,11,d1,d1,True
9,DNF,54.78464477350788,58.28386060399069,54.78464477350788,58.28386060399069,3.499215830482811,True,83,20,,,9,11,d1,d1,True
10,BFS,50.516622281517584,138.79452403456293,50.516622281517584,138.79452403456293,88.27790175304534,True,75,18,d1,True,9,26,d1,d1,True
10,DFS,50.516622281517584,138.79452403456293,50.516622281517584,138.79452403456293,88.27790175304534,True,39,9,d1,True,9,26,d1,d1,True
10,CheapestFirst,50.516622281517584,138.79452403456293,50.516622281517584,138.79452403456293,88.27790175304534,True,75,18,d1,True,9,26,d1,d1,True
10,DNF,50.516622281517584,138.79452403456293,50.516622281517584,138.79452403456293,88.27790175304534,True,143,35,,,9,26,d1,d1,True
11,BFS,31.695531278279116,16.723899227143953,16.723899227143953,31.695531278279116,14.971632051135163,True,23,5,d2,True,6,3,d2,d2,True
11,DFS,31.695531278279116,16.723899227143953,16.723899227143953,31.695531278279116,14.971632051135163,True,27,6,d1,False,6,3,d2,d2,True
11,CheapestFirst,31.695531278279116,16.723899227143953,16.723899227143953,31.695531278279116,14.971632051135163,True,23,5,d2,True,6,3,d2,d2,True
11,DNF,31.695531278279116,16.723899227143953,16.723899227143953,31.695531278279116,14.971632051135163,True,39,9,,,6,3,d2,d2,True
12,BFS,109.44835348354268,84.09548261410328,84.09548261410328,109.44835348354268,25.3528708694394,True,96,24,d2,True,21,16,d2,d2,True
12,DFS,109.44835348354268,84.09548261410328,84.09548261410328,109.44835348354268,25.3528708694394,True,87,21,d1,False,21,16,d2,d2,True
12,CheapestFirst,109.44835348354268,84.09548261410328,84.09548261410328,109.44835348354268,25.3528708694394,True,96,24,d2,True,21,16,d2,d2,True
12,DNF,109.44835348354268,84.09548261410328,84.09548261410328,109.44835348354268,25.3528708694394,True,151,37,,,21,16,d2,d2,True
13,BFS,193.56783323232776,17.753338062410137,17.753338062410137,193.56783323232776,175.81449516991762,True,23,5,d2,True,34,3,d2,d2,True
13,DFS,193.56783323232776,17.753338062410137,17.753338062410137,193.56783323232776,175.81449516991762,True,139,34,d1,False,34,3,d2,d2,True
13,CheapestFirst,193.56783323232776,17.753338062410137,17.753338062410137,193.56783323232776,175.81449516991762,True,23,5,d2,True,34,3,d2,d2,True
13,DNF,193.56783323232776,17.753338062410137,17.753338062410137,193.56783323232776,175.81449516991762,True,151,37,,,34,3,d2,d2,True
14,BFS,120.0852162593185,329.9963626736029,120.0852162593185,329.9963626736029,209.91114641428442,True,155,38,d1,True,19,60,d1,d1,True
14,DFS,120.0852162593185,329.9963626736029,120.0852162593185,329.9963626736029,209.91114641428442,True,79,19,d1,True,19,60,d1,d1,True
14,CheapestFirst,120.0852162593185,329.9963626736029,120.0852162593185,329.9963626736029,209.91114641428442,True,179,44,d1,True,19,60,d1,d1,True
14,DNF,120.0852162593185,329.9963626736029,120.0852162593185,329.9963626736029,209.91114641428442,True,319,79,,,19,60,d1,d1,True
15,BFS,15.39691335277131,398.7443406376593,15.39691335277131,398.7443406376593,383.347427284888,True,43,10,d1,True,5,73,d1,d1,True
15,DFS,15.39691335277131,398.7443406376593,15.39691335277131,398.7443406376593,383.347427284888,True,23,5,d1,True,5,73,d1,d1,True
15,CheapestFirst,15.39691335277131,398.7443406376593,15.39691335277131,398.7443406376593,383.347427284888,True,27,6,d1,True,5,73,d1,d1,True
15,DNF,15.39691335277131,398.7443406376593,15.39691335277131,398.7443406376593,383.347427284888,True,315,78,,,5,73,d1,d1,True
